YEAR,State,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
1915,Gujarat,8.8,3.2,20,8.8,3.5999999999999996,163.6,228.2,128.6,82.2,162.9,2.8,0.4,813.0999999999999,12,32.4,602.6,166.1
1916,Gujarat,0,0,0.2,0.1,11.399999999999999,147.7,274,657.8,291.9,61.7,4,0,1448.8,0,11.7,1371.4,65.7
1917,Gujarat,3.8,7.6000000000000005,0,6.8,155.3,208.2,535.3,589.1,463.29999999999995,442.2,0,0,2411.6000000000004,11.5,162.1,1795.9,442.2
1918,Gujarat,0.4,0,0.8,0.6,15.899999999999999,47.699999999999996,155.5,262.4,26.200000000000003,0.4,0.5,0,510.20000000000005,0.4,17.3,491.70000000000005,0.8999999999999999
1919,Gujarat,13.6,0.1,0,2.4000000000000004,3,134.9,506.29999999999995,660.8,109.3,51.2,30.900000000000002,0,1512.5,13.7,5.5,1411.2,82.2
1920,Gujarat,56.6,6.3,0.3,0.4,83.9,427,413.3,162.8,48.2,0,0,0,1199,62.9,84.6,1051.3,0
1921,Gujarat,0.8,0,0,0,0,39.7,847.1,284.5,595.1,3.1,0,0.4,1770.9,0.8,0,1766.5,3.5
1922,Gujarat,2.1,0,0,1,0.1,171.5,442.20000000000005,138.3,444.9,6.1,4.1,3,1213.6,2.1,1.1,1197.1,13.3
1923,Gujarat,0,16.6,1.5,4.5,7.3,4.6,398.7,227.3,95.9,1.7000000000000002,0,0,758.2,16.6,13.3,726.5,1.8
1924,Gujarat,1.4,0.1,0.5,0,12.2,158.3,418.6,345.6,260.8,21.3,0,1.4,1220.3,1.5,12.8,1183.4,22.7
1925,Gujarat,0,0,0.1,0,37.5,465.1,279.20000000000005,111,21.799999999999997,0.4,18.4,0.2,933.7,0,37.7,877,19
1926,Gujarat,12.5,0,1.2,4.2,30.6,30,656.5,683.3,755.7,1.8,0.1,0,2175.9,12.5,36,2125.6000000000004,1.9
1927,Gujarat,0,13.700000000000001,0.1,0.2,3.8,191.9,1345.4,246.89999999999998,169.7,48.2,21.8,19.9,2061.6,13.700000000000001,4,1953.9,89.9
1928,Gujarat,0.6,0.2,0,0.2,0,56.3,576.1,312.3,227.20000000000002,46.5,26.7,1.8,1247.8,0.8,0.2,1171.8,74.9
1929,Gujarat,7,0,0,8.6,1.4,163.2,622.0999999999999,213.89999999999998,32.1,14.9,1.9,32.9,1098.1,7,10,1031.4,49.7
1930,Gujarat,6.8,0.7,0.2,0.2,2.9000000000000004,284.29999999999995,651,191.10000000000002,141.3,65.30000000000001,0,1,1344.9,7.5,3.3,1267.7,66.4
1931,Gujarat,0.2,0.7,0,0.1,4.8,26.5,447.5,665.5,107.2,173.7,6.7,1.3,1434.3,0.7999999999999999,4.9,1246.8000000000002,181.7
1932,Gujarat,0,0,0.8,0.4,0.7,74,924.1,185.1,147.6,65.1,0.9,0.3,1399.1,0,1.9000000000000001,1330.9,66.3
1933,Gujarat,0,7.9,1.9,14.9,148.2,177.9,461.4,715.6,334.5,21,3.6,8.1,1895,7.9,165,1689.3,32.7
1934,Gujarat,0.1,0,1.2999999999999998,0.4,0,381.29999999999995,381,497.7,92.60000000000001,1.8,21.6,0,1378,0.1,1.9000000000000001,1352.6,23.4
1935,Gujarat,18.8,0,0,4.1,0.4,127.2,709,171.7,229.89999999999998,19.1,0.1,0.7,1281,18.8,4.4,1237.8,19.9
1936,Gujarat,0,5,1.7000000000000002,0,1,303.8,221.2,70.2,290.4,1.3,84.9,0.8,980.4,5,2.7,885.6,87.1
1937,Gujarat,0,6.4,0.2,0.1,0,377.8,849.1999999999999,38,432.3,11.600000000000001,0.1,20.900000000000002,1736.6999999999998,6.4,0.3,1697.3999999999999,32.599999999999994
1938,Gujarat,0,0.1,0,0,25.8,406.4,456.90000000000003,193.8,31.6,45.7,0,0.3,1160.9,0.1,25.8,1088.8,46.099999999999994
1939,Gujarat,0,9.7,5.4,0,0,39.3,272.5,344.8,103.39999999999999,5.3999999999999995,4.3,0.2,785,9.7,5.4,760,9.9
1940,Gujarat,18.5,10.8,16.6,2.1,3.2,264.2,295.9,327.4,143,93.7,51.2,0,1226.6,29.299999999999997,21.8,1030.5,144.9
1941,Gujarat,1.5,15.9,0.1,0.7999999999999999,1.7000000000000002,56.9,1019.0999999999999,201.1,57.800000000000004,6.199999999999999,0,2.4,1363.6,17.3,2.7,1335.1,8.600000000000001
1942,Gujarat,3,34.7,0,0,15,143.29999999999998,612.4,514.5,205.5,0,0,0.4,1529,37.8,15,1475.6999999999998,0.5
1943,Gujarat,0.30000000000000004,0,0,2.4,27.8,194.9,836.9,94.30000000000001,223.89999999999998,58.400000000000006,0.5,0,1439.4,0.30000000000000004,30.1,1350,58.9
1944,Gujarat,3.8,0,7.199999999999999,2.3,6.3,180.1,1055.4,699.1,85.3,17.2,0,1.3,2058.2,3.8,15.9,2019.8000000000002,18.6
1945,Gujarat,17,0,0,2.5999999999999996,1.1,281.8,847.0999999999999,348.20000000000005,408.6,3.5,0,0,1910.1,17,3.7,1885.8,3.5
1946,Gujarat,0,2.5,0,2,7.4,370.4,426,626.1,134.9,2.9000000000000004,42.599999999999994,6.1,1621.1,2.5,9.399999999999999,1557.6,51.6
1947,Gujarat,0.4,0,0,104.80000000000001,0,6.6000000000000005,295.79999999999995,517.5,404.29999999999995,10.4,2.3,0,1342.1999999999998,0.4,104.80000000000001,1224.1,12.799999999999999
1948,Gujarat,19.9,0.4,0,0,1.1,78.9,205.3,190.60000000000002,122.39999999999999,52.2,48.6,2,721.5999999999999,20.299999999999997,1.1,597.3,102.9
1949,Gujarat,0,0.2,0,0,3.4,48.5,526.5,437.3,297,26.9,2.8,0,1342.6,0.2,3.4,1309.4,29.599999999999998
1950,Gujarat,0.2,0,0,0,0.1,14.799999999999999,1117.5,97.9,369.1,3.3,0,0,1602.9,0.2,0.1,1599.3000000000002,3.3
1951,Gujarat,0,0,1.2000000000000002,1.1,3.5,105.6,346.9,250.3,14.2,14.3,26.1,0.3,763.5,0,5.7,717.1,40.7
1952,Gujarat,0,0.3,0,0.1,1.9,217.79999999999998,767,169.10000000000002,17.2,3.2,0.7,0,1177.4,0.3,2.1,1171.2,3.9000000000000004
1953,Gujarat,19.1,0.3,0.3,0.1,0.3,209.89999999999998,352.1,1003.2,174.2,2,0,0.4,1762.1,19.4,0.8,1739.4,2.4
1954,Gujarat,2,3.1,9,0,0.6000000000000001,161.9,535.6,421.1,676.9,32.8,0.6,4.1,1847.8,5.2,9.6,1795.5,37.5
1955,Gujarat,0.3,0.1,1,0.7,4,131.20000000000002,136.4,534.3,492.4,59.7,0.1,0.4,1360.8000000000002,0.4,5.8,1294.4,60.2
1956,Gujarat,0.3,0.30000000000000004,0,0.30000000000000004,27.7,184.2,980.0999999999999,505.20000000000005,235.4,166.4,4,1.7999999999999998,2105.7,0.6,28,1904.9,172.10000000000002
1957,Gujarat,4,0,0.30000000000000004,0.1,7.2,230.4,454.8,289.1,24.1,9,26.3,1,1046.3,4,7.7,998.4000000000001,36.2
1958,Gujarat,1.9,0.5,0.6,4.4,1.2,146.9,496.70000000000005,367.90000000000003,549.8,81.5,20.1,3.5,1674.6999999999998,2.4,6.1,1561.3000000000002,104.9
1959,Gujarat,0.9,0,0,5,3.0999999999999996,164.5,1181.7,390.8,587.8,238.4,9.3,0,2581.6,0.9,8.2,2324.8,247.7
1960,Gujarat,1.7000000000000002,0,0.7,0,13.9,253.8,350.8,253.5,105.5,6.8,0,0.1,986.8,1.7000000000000002,14.6,963.5,7.1
1961,Gujarat,1,7.6,4.8,0,2.6,216.10000000000002,659.1,301.8,476.5,28.200000000000003,0.30000000000000004,0,1698,8.5,7.3999999999999995,1653.5,28.5
1962,Gujarat,0,0,2.0999999999999996,2,5.1,73.3,435.70000000000005,284.2,317.4,0.3,21.6,3.1,1144.8,0,9.1,1110.6,25
1963,Gujarat,1.9,0,1.9,1.8,0.8,90.4,374.5,474.5,293.4,71.4,65.6,0.6000000000000001,1377,1.9,4.6,1232.8,137.6
1964,Gujarat,0.30000000000000004,0,0,0,5.6,211.7,539.4,481.20000000000005,193.39999999999998,0.6,0,0,1432.2,0.30000000000000004,5.6,1425.7,0.6
1965,Gujarat,12.9,0,0.6,0.7,1.5,12.6,728.0999999999999,278,37.8,1.2,4.5,0.1,1078,12.9,2.7,1056.6,5.8
1966,Gujarat,0.4,0,0,0,0.7,197.8,483.7,78,260.4,1.5,0.4,0.1,1023.2,0.4,0.8,1020,2
1967,Gujarat,0,0,88.30000000000001,1.1,0.4,238.89999999999998,880.5999999999999,265.3,154.6,1.1,0,46.7,1677.3000000000002,0,89.80000000000001,1539.6,47.900000000000006
1968,Gujarat,1.2000000000000002,1.3,2.1,0,0.7,44.8,384,462.3,70,15.4,0.7,0,982.6,2.4,2.9,961.2,16.1
1969,Gujarat,0,0.4,0,0,0,144.7,507.6,190.1,218.8,0.3,13.600000000000001,3.4000000000000004,1079,0.5,0,1061.1999999999998,17.3
1970,Gujarat,0.30000000000000004,1.1,0.5,0.30000000000000004,12.899999999999999,332.8,476.9,823.3,517.8,23.5,0.1,0,2189.6,1.3,13.700000000000001,2150.9,23.6
1971,Gujarat,0.3,0.1,0,0.6,7,323.29999999999995,430.4,328.2,187.10000000000002,5.9,0,0,1282.8000000000002,0.4,7.6,1268.9,5.9
1972,Gujarat,0.2,5.4,0,0,2.1,174.8,307.2,205.3,30.2,0.6000000000000001,0,0,725.9,5.4,2.1999999999999997,717.6,0.6000000000000001
1973,Gujarat,1,0.7999999999999999,0.1,0,1.8,148.1,478.59999999999997,443.1,462.3,14.1,0,0.1,1549.8999999999999,1.9,1.9,1532.1,14.1
1974,Gujarat,0,0,0,0.8,61.599999999999994,38.2,191.9,129.1,114.30000000000001,68.2,0,1.9,606,0,62.4,473.5,70.1
1975,Gujarat,0.7,0,0.7,0,0.1,257.2,307,638.9000000000001,518.5,151.5,0,0,1874.8000000000002,0.7,0.9,1721.6999999999998,151.5
1976,Gujarat,4.2,0.1,1,0,0.2,446.2,822.2,670.5999999999999,214.3,2.5,84.30000000000001,0,2245.6,4.300000000000001,1.3,2153.3,86.8
1977,Gujarat,4.9,0.1,0.2,0.1,23.1,471.2,763.4000000000001,331.5,258.9,1.6,16.7,0,1871.8000000000002,5,23.5,1824.9,18.4
1978,Gujarat,0,1.8,0,4.5,0.3,312.9,384.9,576,63.4,15.799999999999999,58.3,6.4,1424.4,1.8,4.8,1337.3000000000002,80.5
1979,Gujarat,1,7.8999999999999995,0,0,0.4,275.8,208.89999999999998,1075.3,83.3,23.7,182.5,1.1,1859.9,8.899999999999999,0.5,1643.2,207.1
1980,Gujarat,0.4,0.2,0,0,0.1,583.1,500.29999999999995,307.2,39.1,0.9,1.3,25.400000000000002,1457.8,0.5,0.1,1429.7,27.5
1981,Gujarat,2,0,0.7,0.1,1,157.3,698.8,540.8,227.4,73.6,117.5,0,1819.2,2,1.8,1624.3,191.2
1982,Gujarat,0.5,0.1,0.1,2.9,66.3,44.800000000000004,411.09999999999997,380.4,42.7,7.2,203.3,0,1159.6,0.6,69.3,879.1,210.5
1983,Gujarat,0.30000000000000004,0.1,0,9.3,1.8,339.5,620.6,652.2,248.60000000000002,100.1,0,0,1972.3000000000002,0.4,11.1,1860.8000000000002,100.1
1984,Gujarat,0,0,0,0,0,142.9,367.2,574.5999999999999,205.3,5.7,1.7,0,1297.3,0,0,1290,7.3
1985,Gujarat,0,0,0,0.8,7.199999999999999,26.7,350.5,301.1,35.8,166.1,0,0.3,888.5,0,8,714,166.4
1986,Gujarat,0,0,0.30000000000000004,0,4.2,347.9,192.20000000000002,242.4,10.7,1.5,1.1,0.1,800.3,0,4.4,793.1,2.7
1987,Gujarat,0.4,0.5,0.4,0,0.4,101,137.8,214.1,7.800000000000001,3.5,14.399999999999999,14,494.59999999999997,0.9,0.9,460.7,32
1988,Gujarat,0,0,0,3.6,0.1,87.4,1068.9,356.3,321.4,12,0,0,1849.7,0,3.6,1834,12
1989,Gujarat,3.1,0,0.2,0,0.1,247,607.8,358.90000000000003,99.3,4.6,0,0,1321,3.1,0.30000000000000004,1313,4.6
1990,Gujarat,0,5.6,0.6000000000000001,0,38.8,111.9,238.5,789.9,296.29999999999995,34.8,4.8999999999999995,4.9,1526.3000000000002,5.6,39.5,1436.6,44.6
1991,Gujarat,0,0,0,0,0,68.9,596.4,178,47.199999999999996,0,0.7,0.3,891.4000000000001,0,0,890.4,1
1992,Gujarat,2.6,0.2,0,0,1,177.9,599.5,356.3,332.8,28.7,2.7,0,1501.8000000000002,2.8,1,1466.6,31.4
1993,Gujarat,1.5,6.5,0.1,0,0,174.6,698,73.5,217.9,60.6,18.7,2.5,1254.1,8.1,0.1,1164.2,81.8
1994,Gujarat,8.2,0,0,0.1,0,420.1,893.7,507.6,575.3,2.2,0.1,0,2407.3,8.2,0.2,2396.7,2.3000000000000003
1995,Gujarat,2.2,0,0.4,0,0,11.5,710.1,172.8,113.5,46.8,0.3,0.7,1058.4,2.2,0.5,1007.9,47.8
1996,Gujarat,1.4,0,0,0.1,0,261,536.7,252.4,163.10000000000002,62.3,0.1,0,1277.1999999999998,1.4,0.2,1213.1999999999998,62.4
1997,Gujarat,1.5,0,0.8,3.5999999999999996,6.6,545.1,379.3,453.7,266.79999999999995,10,0.9,0.9,1669.1000000000001,1.5,11,1645,11.700000000000001
1998,Gujarat,0,0.1,0,0,0,220.6,461.79999999999995,290.5,409,248.8,6,0,1636.9,0.1,0,1381.9,254.8
1999,Gujarat,1.3,12.5,0,0,139.3,218.6,261.7,72.5,81.1,162.4,0,0,949.0999999999999,13.8,139.3,633.8,162.4
2000,Gujarat,0,0.1,0,0,39,68.3,525.8,179.2,18,2.4000000000000004,0,3.7,836.7,0.1,39,791.5,6.199999999999999
2001,Gujarat,6.1,0,0,0.4,3,389.8,511.1,373.70000000000005,38.400000000000006,36.5,0.2,0,1359.2,6.1,3.3,1313,36.6
2002,Gujarat,4.1,0,0.1,0,0,400.6,53.8,356,128.8,0.8,0.30000000000000004,0.7,945.3000000000001,4.1,0.1,939.2,1.8
2003,Gujarat,0,6.5,0.1,0,0,277.5,920.9000000000001,505.3,131.2,4.9,0,0,1846.5,6.5,0.1,1834.9,4.9
2004,Gujarat,0.2,0,0,0,18,230.5,328.2,781.4000000000001,87.9,41.9,0,0,1488,0.2,18,1427.7,42.1
2005,Gujarat,0,0,0,0.2,0.5,568.5,505.4,297.8,572.3,3.0999999999999996,0,0,1948,0,0.7,1944.1,3.0999999999999996
2006,Gujarat,0,0,2.7,0,0.2,189.7,949.4,814.5999999999999,208.8,10.6,3.1999999999999997,0.6,2179.8,0,3,2162.6000000000004,14.399999999999999
2007,Gujarat,0.1,2.3,0.1,0,0.5,208.1,777,751,326.4,1.7,2.5999999999999996,0,2069.6000000000004,2.4,0.6,2062.4,4.199999999999999
2008,Gujarat,0.1,0.1,0.1,3.6,0.1,154.2,412.2,484.6,435.9,17.4,0.7,10,1519,0.2,3.9,1486.9,28.1
2009,Gujarat,0,0,0.3,0,0,85.1,799.4000000000001,249.5,63.7,30.7,9.6,0,1238.5,0,0.4,1197.7,40.4
2010,Gujarat,0.30000000000000004,0,0,0,0.1,130.39999999999998,722,822.3,404.2,23.799999999999997,105.3,0.2,2208.6000000000004,0.30000000000000004,0.1,2078.7,129.3
2011,Gujarat,0,1.5999999999999999,0,0,0,42.3,471.9,742.5999999999999,372.6,1.6,0.1,0,1633,1.5999999999999999,0,1629.6,1.7000000000000002
2012,Gujarat,0.1,0,0,0.2,0.1,56.8,212.89999999999998,264.8,492.3,9.5,0,1,1037.8,0.1,0.2,1026.8000000000002,10.5
2013,Gujarat,1.7,1.1,0.2,13.1,0.1,283.4,576.5999999999999,294.4,547.5,81.80000000000001,0.1,0,1800.3999999999999,2.8,13.399999999999999,1702.1,81.9
2014,Gujarat,6,0.1,0.30000000000000004,1.5,3.4000000000000004,28.9,445.2,257.4,334.3,8.5,4,0,1089.6,6.1,5.2,1065.8,12.399999999999999
2015,Gujarat,2.7,0,10.5,7.6,1.7000000000000002,233.3,581.4,48,173.3,5.5,0.6,0,1064.6,2.7,19.9,1035.9,6.2
2016,Gujarat,0,0,0.8999999999999999,0,1.5,63.1,365.8,519.9,164.9,131.60000000000002,0,0,1247.8,0,2.3,1113.8,131.60000000000002
2017,Gujarat,0.1,0,0,0,0.30000000000000004,219.5,981.7,333.2,109,20.3,0,12.3,1676.5,0.1,0.30000000000000004,1643.5,32.7
1901,Haryana,35.4,28.9,11.1,0,5.1,13.2,126.4,151.5,10.5,2,0,6.1,390.1,64.3,16.2,301.6,8.1
1902,Haryana,0,0.7,2.9,10.2,15.8,74.6,149.3,97.1,59.8,9.3,0,0,419.8,0.7,28.9,380.9,9.3
1903,Haryana,14.7,0.5,2.3,0.5,8.5,8.6,151.6,138.2,97.7,4,0,2.3,428.9,15.2,11.3,396.1,6.2
1904,Haryana,7.6,0.7,48,0.5,29.3,34.3,109.7,162.9,102.3,1.5,10.4,20.3,527.8,8.3,77.8,409.3,32.3
1905,Haryana,44.8,20.8,14,1.3,7.4,20.1,93.6,23.1,92.6,0,0,5.1,322.9,65.7,22.7,229.4,5.1
1906,Haryana,3.6,64.1,31.4,0.1,1.4,70.2,128.9,103.8,185.2,0,0,5,593.6,67.7,32.9,488,5
1907,Haryana,14.3,42.8,25.9,33.5,7.8,20,123.2,175.3,1,0.1,0,0,443.9,57.1,67.2,319.5,0.1
1908,Haryana,31.4,6.1,0.1,7.6,22.4,14.5,196.6,398.2,10.1,0.3,1.1,0.6,689,37.5,30.1,619.5,2
1909,Haryana,5.9,13.1,0,78.1,2.8,123.7,228.7,118.9,162.4,3.1,0,32.7,769.3,19,80.9,633.7,35.8
1910,Haryana,19.7,5.1,0.1,2.1,3.1,69,107.9,150.4,159.7,87.3,0,0.8,605.2,24.8,5.3,487,88.1
1911,Haryana,66.5,1.3,53.3,0.7,0.1,53.1,26.3,49.3,208.7,10.7,39.7,0,509.7,67.8,54.1,337.4,50.4
1912,Haryana,43.4,12.5,9,9.2,2.8,26.5,161.1,134.2,119.5,0,10.5,0.5,529.3,55.9,21,441.4,11
1913,Haryana,1.1,42.9,22.4,1.9,69.7,111.8,142.9,82.3,22.6,0.7,0.9,9.3,508.4,43.9,94,359.6,10.9
1914,Haryana,2.3,7,4.7,22.7,21,51.1,252,100,182.9,18.7,2,0.3,664.7,9.3,48.4,586,21
1915,Haryana,30.7,49.1,40.9,7.1,8,39.9,66.9,69.9,101.7,6.4,0,1.8,422.4,79.9,55.9,278.4,8.2
1916,Haryana,0.5,15.7,0.2,2.3,12.5,71.2,139.7,217.7,107.8,61.6,0,0,629.1,16.2,14.9,536.4,61.6
1917,Haryana,6.1,7.4,3.2,34.5,25.8,64.6,164.3,210.9,361.5,101,0,7.5,986.7,13.5,63.5,801.2,108.5
1918,Haryana,10,0,11.1,9.9,1.1,34.3,20,142.1,5,0.3,0.8,0,234.7,10.1,22.2,201.4,1.1
1919,Haryana,61,2.7,8.4,2.3,14.8,7,208.7,172.1,50.6,0,3.4,22.8,553.7,63.8,25.4,438.3,26.2
1920,Haryana,11.2,12.9,13.2,0.2,21.6,73,194.8,30.8,9.6,1.4,0,0.1,368.8,24.1,35.1,308.1,1.5
1921,Haryana,21.3,1.2,0.5,1.4,0,13.7,100.2,189.5,86.1,29.5,0,3,446.5,22.5,2,389.5,32.5
1922,Haryana,14.3,4.5,0.6,0.6,1.4,86.7,139.6,99.7,176.5,1.7,0,27.1,552.9,18.8,2.7,502.6,28.7
1923,Haryana,17,52.7,0.8,0.1,19.7,24.8,183.7,221.3,17.6,9.1,0.3,34.4,581.5,69.7,20.6,447.4,43.8
1924,Haryana,48.5,18.9,2,1.3,5.5,18.5,98.3,151.3,247.5,45.5,2.5,15,654.8,67.4,8.8,515.6,63
1925,Haryana,4.8,0.1,0.1,3.1,11.2,153.8,247,108.6,10.2,5.7,12.2,0.3,557.2,5,14.4,519.6,18.2
1926,Haryana,9.4,9.3,39.2,10.3,33.4,18.4,190,257.4,45.5,0.6,2.4,0.1,615.9,18.7,82.8,511.3,3
1927,Haryana,0.2,34.1,14.8,7.4,13.9,12.2,160.9,163.9,42.7,18.1,1.7,32.5,502.5,34.3,36.1,379.7,52.4
1928,Haryana,21.5,28.3,3.4,5.9,3.7,36.5,131,77.6,35.6,7.6,20.3,16.8,388.2,49.8,13,280.7,44.6
1929,Haryana,15.2,0.1,0,9.5,3.7,18.7,135.2,82.8,11.4,3.8,0,26.2,306.6,15.4,13.2,248.1,30
1930,Haryana,28.4,11.4,4,1.8,3.4,68.6,266.5,78.4,32.3,2.8,0.9,2.1,500.5,39.8,9.2,445.9,5.7
1931,Haryana,0.4,17,14.2,0.3,7.8,11.1,198.7,122.5,109.5,37.4,0,0.1,519.2,17.5,22.4,441.9,37.5
1932,Haryana,3,2,26.2,4.8,6.1,14.3,136.8,113.4,117.5,0,0,15.8,440.1,5.1,37.1,382.1,15.8
1933,Haryana,1.1,19.5,10.8,6.7,43.2,105.1,131.4,227.3,293.1,17,0.4,1.3,856.9,20.6,60.7,756.8,18.7
1934,Haryana,21.6,1,47.6,0.7,2,64.6,140.8,199.1,18.3,0,0,5.6,501.4,22.6,50.4,422.8,5.6
1935,Haryana,35.1,25.1,7.1,29.2,0.7,5.3,208.9,132.3,97,7.5,6,14.2,568.3,60.2,37,443.5,27.7
1936,Haryana,1.6,18.2,6.8,0.7,3.3,141.3,124.4,125.7,61.3,0.1,1.2,26.5,511.1,19.8,10.8,452.7,27.7
1937,Haryana,0.8,75.8,5.3,20.3,5.2,43.7,171.6,39.3,109.8,0.4,0.3,9.1,481.7,76.7,30.8,364.4,9.8
1938,Haryana,38.2,7.7,0.4,1.1,7.4,61.7,89.7,56.9,8.1,7.6,0.1,0,278.8,45.9,8.9,216.3,7.7
1939,Haryana,1.9,38.5,20.2,0.5,0.3,88.8,62.7,32.9,63.3,1.2,0,0,310.2,40.5,20.9,247.6,1.2
1940,Haryana,28.2,35.6,11.9,6.7,1.7,38.7,117.4,142.3,12.6,0.2,0,0.4,395.7,63.8,20.3,311.1,0.5
1941,Haryana,59.2,5.1,2.2,0,16.2,96.3,41,90.1,46.4,3.9,0,3.5,363.9,64.3,18.4,273.8,7.4
1942,Haryana,24.9,48.6,2.2,11.7,7.3,48.2,257.5,237.6,154.2,0.3,0,11.9,804.5,73.6,21.2,697.6,12.2
1943,Haryana,19.6,2.1,2.4,14.7,8.5,28.8,129.6,112.4,89.7,0,0,0.1,407.9,21.7,25.6,360.4,0.1
1944,Haryana,21.5,32.9,35.1,27.6,0.5,52.2,150.7,99,38.8,24.8,0.6,0.6,484.2,54.4,63.1,340.7,26
1945,Haryana,41.5,0,2.4,6.5,7.9,36.5,120,122.3,312.5,5.1,0,0,654.6,41.5,16.8,591.2,5.1
1946,Haryana,0.1,9.7,1.7,3.4,27,72,122.9,155.4,17.3,15.6,1,11.6,437.8,9.8,32.1,367.6,28.3
1947,Haryana,17.2,15.8,7.2,0.6,3,13.7,22.9,80.6,292.9,4.5,0,6.2,464.5,33,10.8,410,10.7
1948,Haryana,34.4,31.4,18.8,1.1,4.8,16,212.4,233,34.6,4.3,0.9,0.3,592.1,65.9,24.7,496.1,5.4
1949,Haryana,3.4,27.9,0.7,1.2,5.9,12.1,287.9,58.3,84.7,1.2,0,2,485.3,31.3,7.8,442.9,3.2
1950,Haryana,22.2,6.5,18.1,0.5,6.1,9.7,220.4,147.6,118.7,0,0,1.4,551.1,28.7,24.7,496.4,1.4
1951,Haryana,8.2,0.4,33.6,11.6,9.1,21.3,56,135.4,35,0.2,27.4,0,338.2,8.7,54.2,247.7,27.7
1952,Haryana,8.2,17.8,12,2.6,10.8,67.1,122.5,311,1.3,0,0,3.2,556.3,26,25.3,501.9,3.2
1953,Haryana,39.5,1.6,0,4.1,5.9,58.9,241,154.9,48.4,0.9,0,6.6,561.9,41.1,10,503.3,7.5
1954,Haryana,26.1,91,10.1,0.4,3.9,26.7,152.3,45.6,136.6,43.9,0.3,0,537,117.1,14.5,361.2,44.2
1955,Haryana,32.8,1.9,7.7,7.3,12.7,66.1,100.3,173.1,159.3,129.4,2.8,0.6,694.1,34.7,27.7,498.8,132.8
1956,Haryana,16.6,3.1,25.6,0.8,2.4,50.8,239.1,159.5,19.5,131.3,4.4,0.6,653.8,19.7,28.9,468.9,136.3
1957,Haryana,53.2,0.2,28.9,2.8,6.9,24.4,190.6,101.6,149.6,26.6,7.7,24.7,617.2,53.4,38.7,466.2,58.9
1958,Haryana,4.1,0.7,5.4,1.9,4.4,17,150,182.7,273.4,21.8,1,10.6,673,4.8,11.7,623.1,33.4
1959,Haryana,28.4,8,3.8,0.4,13.2,25.3,103.8,163.8,102.8,16.1,19.3,0.1,484.9,36.4,17.4,395.7,35.4
1960,Haryana,11.3,0,24.4,4.2,1.3,33.1,249.9,339,15.6,35.2,0,8.9,722.9,11.3,30,637.5,44.1
1961,Haryana,40.2,29.9,0.4,4.6,11,46.2,150.1,251.4,52.4,25.8,6.6,9.2,627.9,70.2,16,500.1,41.6
1962,Haryana,21.1,10.4,7.7,1.3,1.5,14,144.7,111.5,189.4,0,2.9,6.5,511,31.5,10.5,459.6,9.4
1963,Haryana,3.1,4.1,4.4,2,3.9,40.7,55.3,307.6,85.3,0,9,6.3,521.8,7.2,10.4,488.9,15.4
1964,Haryana,4.7,1.5,0.9,0.4,14.6,8.8,370.7,191.5,111.2,0.6,0.1,6,710.9,6.2,15.9,682.1,6.7
1965,Haryana,6.2,11.5,7.3,8.6,20.4,2.1,120.3,133.3,60.9,11,0.1,0.2,381.9,17.7,36.3,316.7,11.3
1966,Haryana,3.3,34,6.7,1.7,45.3,128.9,98.2,312.8,69.1,6.7,1,0.2,707.7,37.3,53.7,609,7.8
1967,Haryana,0,2.4,43.4,0.9,13,33.1,224.3,336,96.3,7.8,13.8,68.9,839.9,2.4,57.3,689.7,90.5
1968,Haryana,14.1,15.9,17.3,0,2.3,28.3,211.2,90.1,0.1,7,0,2,388.3,30,19.6,329.6,9.1
1969,Haryana,1.5,6.8,9.7,3.6,21,11.3,130.9,132.7,158.8,0.3,0.6,0,477.2,8.3,34.3,433.7,1
1970,Haryana,35.4,35.4,9.4,0,11.5,67.2,65.7,207.9,104.9,0.8,0,0,538.2,70.8,20.9,445.7,0.8
1971,Haryana,17,18.9,1.1,7.5,58.7,61.3,148.4,259.2,51.6,11.3,1.8,0,636.8,35.9,67.4,520.5,13.1
1972,Haryana,6.8,12.1,5.6,11.6,0.1,24.9,137.1,186,12.6,7.7,33.1,3.2,440.8,18.9,17.4,360.6,44
1973,Haryana,15.8,5.2,3.2,0.5,32.9,75.1,118.3,189.8,57.6,19.7,0,9,527.2,21,36.7,440.8,28.6
1974,Haryana,0.5,1.3,1.6,0.9,4.6,37.9,201.5,94.5,12.2,16.4,0,13.5,384.9,1.8,7,346.1,29.9
1975,Haryana,20.3,2.9,9.3,0.3,5.6,57.9,182.6,180.1,142.4,20.6,0,0,622.1,23.2,15.3,563,20.6
1976,Haryana,8.8,23.1,6.8,2.7,32.4,80.2,216.2,317.4,38,0.2,0.1,0.8,726.7,31.8,41.9,651.8,1.1
1977,Haryana,50.1,1.5,0.8,22.8,23.6,50.6,288.4,165.7,118.3,8.4,0.5,9.4,740.1,51.6,47.2,623.1,18.3
1978,Haryana,0.2,24.8,51.7,4.2,1.5,71.5,202.7,184.8,104.5,2.1,2.8,0.5,651.1,25,57.4,563.4,5.3
1979,Haryana,23.2,45.5,10.7,3.5,30,33.6,122.7,39.7,19.9,3.6,2.8,6.3,341.5,68.7,44.1,215.9,12.7
